Date,Open,High,Low,Close,Volume
2018-08-15,280.39,303.59,280.12,282.36,1878150000
2018-08-16,282.74,298.48,280.93,288.05,1552970000
2018-08-17,287.68,316.17,287.35,315.73,1995460000
2018-08-18,316.79,320.45,286.55,295.81,1764020000
2018-08-19,295.67,307.10,291.33,300.83,1447910000
2018-08-20,301.38,304.37,273.51,274.32,1413790000
2018-08-21,273.33,285.97,273.33,281.94,1164120000
2018-08-22,281.97,297.49,265.00,271.34,1507660000
2018-08-23,271.75,279.55,271.09,277.10,1271160000
2018-08-24,278.11,283.30,273.86,282.97,1450170000
2018-08-25,283.28,283.52,278.47,279.65,1208360000
2018-08-26,279.52,279.52,272.44,275.20,1206650000
2018-08-27,275.35,285.60,273.65,285.60,1406790000
2018-08-28,286.65,297.40,283.57,296.50,1513350000
2018-08-29,296.16,297.07,287.29,289.31,1474460000
2018-08-30,289.75,291.24,275.21,284.11,1513100000
2018-08-31,284.12,284.55,278.51,283.00,1411910000
2018-09-01,283.50,301.14,283.50,295.34,1546630000
2018-09-02,295.45,298.69,290.93,294.37,1321050000
2018-09-03,295.18,295.59,287.43,289.26,1394490000
2018-09-04,289.30,291.58,284.26,285.72,1554870000
2018-09-05,286.05,288.16,232.33,232.33,2390390000
2018-09-06,231.65,231.76,218.12,230.21,2097310000
2018-09-07,229.54,233.90,217.07,217.20,1678260000
2018-09-08,217.91,220.37,193.26,197.95,1517200000
2018-09-09,198.38,207.67,188.31,196.92,1585980000
2018-09-10,197.85,201.88,189.58,197.08,1502960000
2018-09-11,198.18,198.51,180.60,185.07,1568900000
2018-09-12,185.42,185.59,170.26,183.33,1874850000
2018-09-13,183.68,214.00,183.68,211.35,2330720000
2018-09-14,212.67,222.79,204.87,211.75,2232190000
2018-09-15,209.81,226.60,209.61,223.07,1670490000
2018-09-16,222.80,222.80,211.12,220.59,1502260000
2018-09-17,221.58,224.26,195.31,197.88,2019910000
2018-09-18,197.10,213.36,195.93,209.98,1800640000
2018-09-19,209.47,213.87,201.66,209.97,1733330000
2018-09-20,210.29,224.82,207.79,224.59,1782070000
2018-09-21,225.25,248.39,221.57,246.58,2836200000
2018-09-22,247.34,251.20,233.81,240.48,1921820000
2018-09-23,240.99,247.46,237.86,244.33,1693470000
2018-09-24,244.84,245.11,227.49,228.73,1748740000
2018-09-25,228.33,228.33,206.49,218.51,2120360000
2018-09-26,218.65,221.44,209.11,215.85,1756100000
2018-09-27,215.44,230.61,212.65,228.49,2030320000
2018-09-28,229.04,231.75,218.67,222.40,2018120000
2018-09-29,221.71,234.01,216.08,231.63,2208720000
2018-09-30,231.33,236.99,228.45,232.85,1765560000
2018-10-01,233.22,234.15,226.95,230.77,1597500000
2018-10-02,231.10,231.17,225.84,227.18,1542080000
2018-10-03,226.41,226.46,213.97,220.49,1683930000
2018-10-04,220.45,226.15,220.09,222.22,1479500000
2018-10-05,222.27,228.32,220.96,227.60,1547330000
2018-10-06,227.55,227.93,224.25,225.12,1505070000
2018-10-07,225.43,226.37,223.00,226.12,1470480000
2018-10-08,226.51,230.76,224.56,229.26,1470740000
2018-10-09,229.71,230.16,226.40,227.98,1405130000
2018-10-10,227.62,227.71,224.49,225.77,1384040000
2018-10-11,225.61,225.61,189.28,189.50,2167620000
2018-10-12,188.71,199.40,188.71,196.73,1487900000
2018-10-13,196.36,201.28,196.36,199.84,1167610000
2018-10-14,199.69,201.83,195.24,195.71,1169260000
2018-10-15,195.27,222.12,194.16,209.70,2865830000
2018-10-16,209.63,212.17,207.98,210.12,1532280000
2018-10-17,210.22,211.12,205.93,207.08,1444130000
2018-10-18,207.40,208.47,201.74,203.35,1365860000
2018-10-19,203.26,204.66,201.84,203.73,1264480000
2018-10-20,203.51,206.22,203.09,205.43,1238780000
2018-10-21,205.39,208.15,204.62,205.14,1190300000
2018-10-22,205.17,206.93,203.38,204.04,1328980000
2018-10-23,204.02,205.15,201.91,204.34,1237490000
2018-10-24,204.13,205.58,203.35,203.85,1102220000
2018-10-25,203.87,204.13,201.82,202.72,1102900000
2018-10-26,202.34,204.78,201.55,203.33,1161310000
2018-10-27,203.36,206.08,203.13,204.21,1084810000
2018-10-28,204.51,205.92,203.52,205.37,1139140000
2018-10-29,205.17,205.60,195.73,197.25,1517230000
2018-10-30,197.20,198.12,196.35,197.56,1363500000
2018-10-31,197.65,198.34,196.53,197.38,1442380000
2018-11-01,197.54,203.75,197.33,198.87,1336700000
2018-11-02,198.98,201.27,198.76,200.63,1451870000
2018-11-03,200.74,200.74,199.52,200.19,1307150000
2018-11-04,200.16,211.27,198.99,207.49,1749300000
2018-11-05,207.10,210.82,206.57,209.09,1613510000
2018-11-06,209.47,218.45,207.89,218.45,1856940000
2018-11-07,218.90,221.65,216.80,217.18,1927830000
2018-11-08,217.33,218.34,212.20,212.23,1769080000
2018-11-09,211.99,213.32,209.51,210.07,1554750000
2018-11-10,209.98,213.86,209.80,212.53,1377760000
2018-11-11,212.48,213.00,208.87,211.34,1501600000
2018-11-12,211.51,212.62,208.92,210.42,1452380000
2018-11-13,210.15,210.51,206.13,206.83,1610260000
2018-11-14,206.53,207.04,174.08,181.40,2595330000
2018-11-15,181.90,184.25,170.19,180.81,2638410000
2018-11-16,180.87,181.35,173.13,175.18,2015330000
2018-11-17,175.36,175.85,172.87,174.00,1832800000
2018-11-18,174.18,179.15,174.18,177.07,1810920000
2018-11-19,177.18,177.18,147.85,149.18,2745160000
2018-11-20,148.81,151.25,126.36,130.34,3134410000
2018-11-21,131.14,138.89,125.76,136.70,2685930000
2018-11-22,136.81,137.74,126.71,126.71,1792150000
